Municipality|Ward_Name|Ward_Number|Contest|Party|Candidate|Votes
City of Kenosha|Wards 2|2|President / Vice President|DEM|Kamala D. Harris / Tim Walz|439
City of Kenosha|Wards 2|2|President / Vice President|REP|Donald J. Trump / JD Vance|357
City of Kenosha|Wards 2|2|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|4
City of Kenosha|Wards 2|2|President / Vice President|GRN|Jill Stein / Rudolph Ware|3
City of Kenosha|Wards 2|2|President / Vice President|CON|Randall Terry / Stephen Broden|2
City of Kenosha|Wards 2|2|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|1
City of Kenosha|Wards 2|2|President / Vice President|JFA|Cornel West / Melina Abdullah|1
City of Kenosha|Wards 2|2|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 2|2|President / Vice President|Write-In||1
City of Kenosha|Wards 2|2|United States Senator|DEM|Tammy Baldwin|433
City of Kenosha|Wards 2|2|United States Senator|REP|Eric Hovde|344
City of Kenosha|Wards 2|2|United States Senator|DTC|Phil Anderson|11
City of Kenosha|Wards 2|2|United States Senator|AFT|Thomas Leager|11
City of Kenosha|Wards 2|2|United States Senator|Write-In||0
City of Kenosha|Wards 2|2|Representative in Congress|DEM|Peter Barca|426
City of Kenosha|Wards 2|2|Representative in Congress|REP|Bryan Steil|349
City of Kenosha|Wards 2|2|Representative in Congress|GRN|Chester Todd, Jr.|11
City of Kenosha|Wards 2|2|Representative in Congress|Write-In||1
City of Kenosha|Wards 2|2|State Senator District 22|DEM|Robert W. Wirch|551
City of Kenosha|Wards 2|2|State Senator District 22|Write-In||32
City of Kenosha|Wards 2|2|Representative to the Assembly District 64|DEM|Tip McGuire|443
City of Kenosha|Wards 2|2|Representative to the Assembly District 64|REP|Ed Hibsch|307
City of Kenosha|Wards 2|2|Representative to the Assembly District 64|Write-In||2
City of Kenosha|Wards 2|2|District Attorney|DEM|Carli McNeill|428
City of Kenosha|Wards 2|2|District Attorney|REP|Xavier Solis|329
City of Kenosha|Wards 2|2|District Attorney|Write-In||0
City of Kenosha|Wards 2|2|County Clerk|DEM|Regi Waligora|534
City of Kenosha|Wards 2|2|County Clerk|Write-In||20
City of Kenosha|Wards 2|2|County Treasurer|DEM|Teri Jacobson|532
City of Kenosha|Wards 2|2|County Treasurer|Write-In||20
City of Kenosha|Wards 2|2|Register of Deeds|DEM|Jennifer Mack|530
City of Kenosha|Wards 2|2|Register of Deeds|Write-In||17
City of Kenosha|Wards 2|2|State Referendum|Yes||507
City of Kenosha|Wards 2|2|State Referendum|No||226
City of Kenosha|Wards 3|3|President / Vice President|DEM|Kamala D. Harris / Tim Walz|408
City of Kenosha|Wards 3|3|President / Vice President|REP|Donald J. Trump / JD Vance|283
City of Kenosha|Wards 3|3|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|4
City of Kenosha|Wards 3|3|President / Vice President|CON|Randall Terry / Stephen Broden|2
City of Kenosha|Wards 3|3|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|2
City of Kenosha|Wards 3|3|President / Vice President|GRN|Jill Stein / Rudolph Ware|1
City of Kenosha|Wards 3|3|President / Vice President|JFA|Cornel West / Melina Abdullah|1
City of Kenosha|Wards 3|3|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 3|3|President / Vice President|Write-In||2
City of Kenosha|Wards 3|3|United States Senator|DEM|Tammy Baldwin|406
City of Kenosha|Wards 3|3|United States Senator|REP|Eric Hovde|265
City of Kenosha|Wards 3|3|United States Senator|AFT|Thomas Leager|13
City of Kenosha|Wards 3|3|United States Senator|DTC|Phil Anderson|4
City of Kenosha|Wards 3|3|United States Senator|Write-In||1
City of Kenosha|Wards 3|3|Representative in Congress|DEM|Peter Barca|399
City of Kenosha|Wards 3|3|Representative in Congress|REP|Bryan Steil|269
City of Kenosha|Wards 3|3|Representative in Congress|GRN|Chester Todd, Jr.|16
City of Kenosha|Wards 3|3|Representative in Congress|Write-In||0
City of Kenosha|Wards 3|3|State Senator District 22|DEM|Robert W. Wirch|544
City of Kenosha|Wards 3|3|State Senator District 22|Write-In||15
City of Kenosha|Wards 3|3|Representative to the Assembly District 64|DEM|Tip McGuire|411
City of Kenosha|Wards 3|3|Representative to the Assembly District 64|REP|Ed Hibsch|257
City of Kenosha|Wards 3|3|Representative to the Assembly District 64|Write-In||1
City of Kenosha|Wards 3|3|District Attorney|DEM|Carli McNeill|412
City of Kenosha|Wards 3|3|District Attorney|REP|Xavier Solis|249
City of Kenosha|Wards 3|3|District Attorney|Write-In||2
City of Kenosha|Wards 3|3|County Clerk|DEM|Regi Waligora|529
City of Kenosha|Wards 3|3|County Clerk|Write-In||16
City of Kenosha|Wards 3|3|County Treasurer|DEM|Teri Jacobson|530
City of Kenosha|Wards 3|3|County Treasurer|Write-In||15
City of Kenosha|Wards 3|3|Register of Deeds|DEM|Jennifer Mack|519
City of Kenosha|Wards 3|3|Register of Deeds|Write-In||15
City of Kenosha|Wards 3|3|State Referendum|Yes||459
City of Kenosha|Wards 3|3|State Referendum|No||188
City of Kenosha|Wards 4|4|President / Vice President|REP|Donald J. Trump / JD Vance|156
City of Kenosha|Wards 4|4|President / Vice President|DEM|Kamala D. Harris / Tim Walz|150
City of Kenosha|Wards 4|4|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|1
City of Kenosha|Wards 4|4|President / Vice President|JFA|Cornel West / Melina Abdullah|1
City of Kenosha|Wards 4|4|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 4|4|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 4|4|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 4|4|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 4|4|President / Vice President|Write-In||2
City of Kenosha|Wards 4|4|United States Senator|DEM|Tammy Baldwin|157
City of Kenosha|Wards 4|4|United States Senator|REP|Eric Hovde|145
City of Kenosha|Wards 4|4|United States Senator|AFT|Thomas Leager|4
City of Kenosha|Wards 4|4|United States Senator|DTC|Phil Anderson|2
City of Kenosha|Wards 4|4|United States Senator|Write-In||0
City of Kenosha|Wards 4|4|Representative in Congress|REP|Bryan Steil|151
City of Kenosha|Wards 4|4|Representative in Congress|DEM|Peter Barca|147
City of Kenosha|Wards 4|4|Representative in Congress|GRN|Chester Todd, Jr.|4
City of Kenosha|Wards 4|4|Representative in Congress|Write-In||0
City of Kenosha|Wards 4|4|State Senator District 22|DEM|Robert W. Wirch|215
City of Kenosha|Wards 4|4|State Senator District 22|Write-In||10
City of Kenosha|Wards 4|4|Representative to the Assembly District 64|DEM|Tip McGuire|154
City of Kenosha|Wards 4|4|Representative to the Assembly District 64|REP|Ed Hibsch|142
City of Kenosha|Wards 4|4|Representative to the Assembly District 64|Write-In||2
City of Kenosha|Wards 4|4|District Attorney|REP|Xavier Solis|152
City of Kenosha|Wards 4|4|District Attorney|DEM|Carli McNeill|143
City of Kenosha|Wards 4|4|District Attorney|Write-In||0
City of Kenosha|Wards 4|4|County Clerk|DEM|Regi Waligora|212
City of Kenosha|Wards 4|4|County Clerk|Write-In||12
City of Kenosha|Wards 4|4|County Treasurer|DEM|Teri Jacobson|212
City of Kenosha|Wards 4|4|County Treasurer|Write-In||12
City of Kenosha|Wards 4|4|Register of Deeds|DEM|Jennifer Mack|208
City of Kenosha|Wards 4|4|Register of Deeds|Write-In||11
City of Kenosha|Wards 4|4|State Referendum|Yes||219
City of Kenosha|Wards 4|4|State Referendum|No||63
City of Kenosha|Wards 5|5|President / Vice President|DEM|Kamala D. Harris / Tim Walz|570
City of Kenosha|Wards 5|5|President / Vice President|REP|Donald J. Trump / JD Vance|377
City of Kenosha|Wards 5|5|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|10
City of Kenosha|Wards 5|5|President / Vice President|GRN|Jill Stein / Rudolph Ware|3
City of Kenosha|Wards 5|5|President / Vice President|CON|Randall Terry / Stephen Broden|2
City of Kenosha|Wards 5|5|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|2
City of Kenosha|Wards 5|5|President / Vice President|JFA|Cornel West / Melina Abdullah|2
City of Kenosha|Wards 5|5|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 5|5|President / Vice President|Write-In||2
City of Kenosha|Wards 5|5|United States Senator|DEM|Tammy Baldwin|573
City of Kenosha|Wards 5|5|United States Senator|REP|Eric Hovde|343
City of Kenosha|Wards 5|5|United States Senator|AFT|Thomas Leager|11
City of Kenosha|Wards 5|5|United States Senator|DTC|Phil Anderson|6
City of Kenosha|Wards 5|5|United States Senator|Write-In||1
City of Kenosha|Wards 5|5|Representative in Congress|DEM|Peter Barca|531
City of Kenosha|Wards 5|5|Representative in Congress|REP|Bryan Steil|361
City of Kenosha|Wards 5|5|Representative in Congress|GRN|Chester Todd, Jr.|26
City of Kenosha|Wards 5|5|Representative in Congress|Write-In||2
City of Kenosha|Wards 5|5|State Senator District 22|DEM|Robert W. Wirch|762
City of Kenosha|Wards 5|5|State Senator District 22|Write-In||18
City of Kenosha|Wards 5|5|Representative to the Assembly District 64|DEM|Tip McGuire|554
City of Kenosha|Wards 5|5|Representative to the Assembly District 64|REP|Ed Hibsch|347
City of Kenosha|Wards 5|5|Representative to the Assembly District 64|Write-In||3
City of Kenosha|Wards 5|5|District Attorney|DEM|Carli McNeill|557
City of Kenosha|Wards 5|5|District Attorney|REP|Xavier Solis|337
City of Kenosha|Wards 5|5|District Attorney|Write-In||3
City of Kenosha|Wards 5|5|County Clerk|DEM|Regi Waligora|759
City of Kenosha|Wards 5|5|County Clerk|Write-In||11
City of Kenosha|Wards 5|5|County Treasurer|DEM|Teri Jacobson|751
City of Kenosha|Wards 5|5|County Treasurer|Write-In||10
City of Kenosha|Wards 5|5|Register of Deeds|DEM|Jennifer Mack|735
City of Kenosha|Wards 5|5|Register of Deeds|Write-In||12
City of Kenosha|Wards 5|5|State Referendum|Yes||647
City of Kenosha|Wards 5|5|State Referendum|No||244
City of Kenosha|Wards 6|6|President / Vice President|DEM|Kamala D. Harris / Tim Walz|459
City of Kenosha|Wards 6|6|President / Vice President|REP|Donald J. Trump / JD Vance|324
City of Kenosha|Wards 6|6|President / Vice President|JFA|Cornel West / Melina Abdullah|4
City of Kenosha|Wards 6|6|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|3
City of Kenosha|Wards 6|6|President / Vice President|GRN|Jill Stein / Rudolph Ware|2
City of Kenosha|Wards 6|6|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 6|6|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 6|6|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 6|6|President / Vice President|Write-In||2
City of Kenosha|Wards 6|6|United States Senator|DEM|Tammy Baldwin|475
City of Kenosha|Wards 6|6|United States Senator|REP|Eric Hovde|279
City of Kenosha|Wards 6|6|United States Senator|DTC|Phil Anderson|22
City of Kenosha|Wards 6|6|United States Senator|AFT|Thomas Leager|10
City of Kenosha|Wards 6|6|United States Senator|Write-In||2
City of Kenosha|Wards 6|6|Representative in Congress|DEM|Peter Barca|463
City of Kenosha|Wards 6|6|Representative in Congress|REP|Bryan Steil|308
City of Kenosha|Wards 6|6|Representative in Congress|GRN|Chester Todd, Jr.|17
City of Kenosha|Wards 6|6|Representative in Congress|Write-In||0
City of Kenosha|Wards 6|6|State Senator District 22|DEM|Robert W. Wirch|596
City of Kenosha|Wards 6|6|State Senator District 22|Write-In||10
City of Kenosha|Wards 6|6|Representative to the Assembly District 64|DEM|Tip McGuire|489
City of Kenosha|Wards 6|6|Representative to the Assembly District 64|REP|Ed Hibsch|276
City of Kenosha|Wards 6|6|Representative to the Assembly District 64|Write-In||1
City of Kenosha|Wards 6|6|District Attorney|DEM|Carli McNeill|473
City of Kenosha|Wards 6|6|District Attorney|REP|Xavier Solis|290
City of Kenosha|Wards 6|6|District Attorney|Write-In||0
City of Kenosha|Wards 6|6|County Clerk|DEM|Regi Waligora|582
City of Kenosha|Wards 6|6|County Clerk|Write-In||10
City of Kenosha|Wards 6|6|County Treasurer|DEM|Teri Jacobson|581
City of Kenosha|Wards 6|6|County Treasurer|Write-In||11
City of Kenosha|Wards 6|6|Register of Deeds|DEM|Jennifer Mack|576
City of Kenosha|Wards 6|6|Register of Deeds|Write-In||10
City of Kenosha|Wards 6|6|State Referendum|Yes||500
City of Kenosha|Wards 6|6|State Referendum|No||240
City of Kenosha|Wards 7|7|President / Vice President|DEM|Kamala D. Harris / Tim Walz|283
City of Kenosha|Wards 7|7|President / Vice President|REP|Donald J. Trump / JD Vance|179
City of Kenosha|Wards 7|7|President / Vice President|GRN|Jill Stein / Rudolph Ware|2
City of Kenosha|Wards 7|7|President / Vice President|JFA|Cornel West / Melina Abdullah|1
City of Kenosha|Wards 7|7|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|1
City of Kenosha|Wards 7|7|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 7|7|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 7|7|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 7|7|President / Vice President|Write-In||0
City of Kenosha|Wards 7|7|United States Senator|DEM|Tammy Baldwin|285
City of Kenosha|Wards 7|7|United States Senator|REP|Eric Hovde|162
City of Kenosha|Wards 7|7|United States Senator|AFT|Thomas Leager|8
City of Kenosha|Wards 7|7|United States Senator|DTC|Phil Anderson|7
City of Kenosha|Wards 7|7|United States Senator|Write-In||2
City of Kenosha|Wards 7|7|Representative in Congress|DEM|Peter Barca|280
City of Kenosha|Wards 7|7|Representative in Congress|REP|Bryan Steil|168
City of Kenosha|Wards 7|7|Representative in Congress|GRN|Chester Todd, Jr.|15
City of Kenosha|Wards 7|7|Representative in Congress|Write-In||0
City of Kenosha|Wards 7|7|State Senator District 22|DEM|Robert W. Wirch|350
City of Kenosha|Wards 7|7|State Senator District 22|Write-In||14
City of Kenosha|Wards 7|7|Representative to the Assembly District 64|DEM|Tip McGuire|286
City of Kenosha|Wards 7|7|Representative to the Assembly District 64|REP|Ed Hibsch|162
City of Kenosha|Wards 7|7|Representative to the Assembly District 64|Write-In||1
City of Kenosha|Wards 7|7|District Attorney|DEM|Carli McNeill|276
City of Kenosha|Wards 7|7|District Attorney|REP|Xavier Solis|171
City of Kenosha|Wards 7|7|District Attorney|Write-In||1
City of Kenosha|Wards 7|7|County Clerk|DEM|Regi Waligora|352
City of Kenosha|Wards 7|7|County Clerk|Write-In||14
City of Kenosha|Wards 7|7|County Treasurer|DEM|Teri Jacobson|350
City of Kenosha|Wards 7|7|County Treasurer|Write-In||14
City of Kenosha|Wards 7|7|Register of Deeds|DEM|Jennifer Mack|352
City of Kenosha|Wards 7|7|Register of Deeds|Write-In||11
City of Kenosha|Wards 7|7|State Referendum|Yes||264
City of Kenosha|Wards 7|7|State Referendum|No||170
City of Kenosha|Wards 8|8|President / Vice President|REP|Donald J. Trump / JD Vance|346
City of Kenosha|Wards 8|8|President / Vice President|DEM|Kamala D. Harris / Tim Walz|269
City of Kenosha|Wards 8|8|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|3
City of Kenosha|Wards 8|8|President / Vice President|GRN|Jill Stein / Rudolph Ware|2
City of Kenosha|Wards 8|8|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|1
City of Kenosha|Wards 8|8|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 8|8|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 8|8|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 8|8|President / Vice President|Write-In||1
City of Kenosha|Wards 8|8|United States Senator|REP|Eric Hovde|317
City of Kenosha|Wards 8|8|United States Senator|DEM|Tammy Baldwin|277
City of Kenosha|Wards 8|8|United States Senator|DTC|Phil Anderson|8
City of Kenosha|Wards 8|8|United States Senator|AFT|Thomas Leager|5
City of Kenosha|Wards 8|8|United States Senator|Write-In||0
City of Kenosha|Wards 8|8|Representative in Congress|REP|Bryan Steil|306
City of Kenosha|Wards 8|8|Representative in Congress|DEM|Peter Barca|296
City of Kenosha|Wards 8|8|Representative in Congress|GRN|Chester Todd, Jr.|6
City of Kenosha|Wards 8|8|Representative in Congress|Write-In||0
City of Kenosha|Wards 8|8|State Senator District 22|DEM|Robert W. Wirch|414
City of Kenosha|Wards 8|8|State Senator District 22|Write-In||27
City of Kenosha|Wards 8|8|Representative to the Assembly District 64|REP|Ed Hibsch|298
City of Kenosha|Wards 8|8|Representative to the Assembly District 64|DEM|Tip McGuire|295
City of Kenosha|Wards 8|8|Representative to the Assembly District 64|Write-In||0
City of Kenosha|Wards 8|8|District Attorney|REP|Xavier Solis|305
City of Kenosha|Wards 8|8|District Attorney|DEM|Carli McNeill|285
City of Kenosha|Wards 8|8|District Attorney|Write-In||0
City of Kenosha|Wards 8|8|County Clerk|DEM|Regi Waligora|409
City of Kenosha|Wards 8|8|County Clerk|Write-In||22
City of Kenosha|Wards 8|8|County Treasurer|DEM|Teri Jacobson|412
City of Kenosha|Wards 8|8|County Treasurer|Write-In||20
City of Kenosha|Wards 8|8|Register of Deeds|DEM|Jennifer Mack|398
City of Kenosha|Wards 8|8|Register of Deeds|Write-In||21
City of Kenosha|Wards 8|8|State Referendum|Yes||425
City of Kenosha|Wards 8|8|State Referendum|No||146
City of Kenosha|Wards 9|9|President / Vice President|DEM|Kamala D. Harris / Tim Walz|812
City of Kenosha|Wards 9|9|President / Vice President|REP|Donald J. Trump / JD Vance|704
City of Kenosha|Wards 9|9|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|10
City of Kenosha|Wards 9|9|President / Vice President|GRN|Jill Stein / Rudolph Ware|2
City of Kenosha|Wards 9|9|President / Vice President|JFA|Cornel West / Melina Abdullah|2
City of Kenosha|Wards 9|9|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|1
City of Kenosha|Wards 9|9|President / Vice President|CON|Randall Terry / Stephen Broden|1
City of Kenosha|Wards 9|9|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|1
City of Kenosha|Wards 9|9|President / Vice President|Write-In||2
City of Kenosha|Wards 9|9|United States Senator|DEM|Tammy Baldwin|834
City of Kenosha|Wards 9|9|United States Senator|REP|Eric Hovde|633
City of Kenosha|Wards 9|9|United States Senator|AFT|Thomas Leager|22
City of Kenosha|Wards 9|9|United States Senator|DTC|Phil Anderson|19
City of Kenosha|Wards 9|9|United States Senator|Write-In||5
City of Kenosha|Wards 9|9|Representative in Congress|DEM|Peter Barca|796
City of Kenosha|Wards 9|9|Representative in Congress|REP|Bryan Steil|673
City of Kenosha|Wards 9|9|Representative in Congress|GRN|Chester Todd, Jr.|33
City of Kenosha|Wards 9|9|Representative in Congress|Write-In||2
City of Kenosha|Wards 9|9|State Senator District 22|DEM|Robert W. Wirch|1127
City of Kenosha|Wards 9|9|State Senator District 22|Write-In||32
City of Kenosha|Wards 9|9|Representative to the Assembly District 64|DEM|Tip McGuire|842
City of Kenosha|Wards 9|9|Representative to the Assembly District 64|REP|Ed Hibsch|618
City of Kenosha|Wards 9|9|Representative to the Assembly District 64|Write-In||4
City of Kenosha|Wards 9|9|District Attorney|DEM|Carli McNeill|844
City of Kenosha|Wards 9|9|District Attorney|REP|Xavier Solis|613
City of Kenosha|Wards 9|9|District Attorney|Write-In||3
City of Kenosha|Wards 9|9|County Clerk|DEM|Regi Waligora|1099
City of Kenosha|Wards 9|9|County Clerk|Write-In||40
City of Kenosha|Wards 9|9|County Treasurer|DEM|Teri Jacobson|1100
City of Kenosha|Wards 9|9|County Treasurer|Write-In||35
City of Kenosha|Wards 9|9|Register of Deeds|DEM|Jennifer Mack|1090
City of Kenosha|Wards 9|9|Register of Deeds|Write-In||34
City of Kenosha|Wards 9|9|State Referendum|Yes||1070
City of Kenosha|Wards 9|9|State Referendum|No||357
City of Kenosha|Wards 10|10|President / Vice President|DEM|Kamala D. Harris / Tim Walz|119
City of Kenosha|Wards 10|10|President / Vice President|REP|Donald J. Trump / JD Vance|101
City of Kenosha|Wards 10|10|President / Vice President|CON|Randall Terry / Stephen Broden|2
City of Kenosha|Wards 10|10|President / Vice President|GRN|Jill Stein / Rudolph Ware|2
City of Kenosha|Wards 10|10|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|1
City of Kenosha|Wards 10|10|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 10|10|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 10|10|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 10|10|President / Vice President|Write-In||0
City of Kenosha|Wards 10|10|United States Senator|DEM|Tammy Baldwin|125
City of Kenosha|Wards 10|10|United States Senator|REP|Eric Hovde|94
City of Kenosha|Wards 10|10|United States Senator|AFT|Thomas Leager|3
City of Kenosha|Wards 10|10|United States Senator|DTC|Phil Anderson|1
City of Kenosha|Wards 10|10|United States Senator|Write-In||0
City of Kenosha|Wards 10|10|Representative in Congress|DEM|Peter Barca|125
City of Kenosha|Wards 10|10|Representative in Congress|REP|Bryan Steil|93
City of Kenosha|Wards 10|10|Representative in Congress|GRN|Chester Todd, Jr.|5
City of Kenosha|Wards 10|10|Representative in Congress|Write-In||0
City of Kenosha|Wards 10|10|State Senator District 22|DEM|Robert W. Wirch|158
City of Kenosha|Wards 10|10|State Senator District 22|Write-In||3
City of Kenosha|Wards 10|10|Representative to the Assembly District 64|DEM|Tip McGuire|124
City of Kenosha|Wards 10|10|Representative to the Assembly District 64|REP|Ed Hibsch|94
City of Kenosha|Wards 10|10|Representative to the Assembly District 64|Write-In||0
City of Kenosha|Wards 10|10|District Attorney|DEM|Carli McNeill|127
City of Kenosha|Wards 10|10|District Attorney|REP|Xavier Solis|89
City of Kenosha|Wards 10|10|District Attorney|Write-In||1
City of Kenosha|Wards 10|10|County Clerk|DEM|Regi Waligora|156
City of Kenosha|Wards 10|10|County Clerk|Write-In||3
City of Kenosha|Wards 10|10|County Treasurer|DEM|Teri Jacobson|158
City of Kenosha|Wards 10|10|County Treasurer|Write-In||3
City of Kenosha|Wards 10|10|Register of Deeds|DEM|Jennifer Mack|158
City of Kenosha|Wards 10|10|Register of Deeds|Write-In||2
City of Kenosha|Wards 10|10|State Referendum|Yes||150
City of Kenosha|Wards 10|10|State Referendum|No||58
City of Kenosha|Wards 11|11|President / Vice President|DEM|Kamala D. Harris / Tim Walz|757
City of Kenosha|Wards 11|11|President / Vice President|REP|Donald J. Trump / JD Vance|616
City of Kenosha|Wards 11|11|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|6
City of Kenosha|Wards 11|11|President / Vice President|GRN|Jill Stein / Rudolph Ware|3
City of Kenosha|Wards 11|11|President / Vice President|CON|Randall Terry / Stephen Broden|2
City of Kenosha|Wards 11|11|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|1
City of Kenosha|Wards 11|11|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|1
City of Kenosha|Wards 11|11|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 11|11|President / Vice President|Write-In||1
City of Kenosha|Wards 11|11|United States Senator|DEM|Tammy Baldwin|764
City of Kenosha|Wards 11|11|United States Senator|REP|Eric Hovde|577
City of Kenosha|Wards 11|11|United States Senator|DTC|Phil Anderson|22
City of Kenosha|Wards 11|11|United States Senator|AFT|Thomas Leager|5
City of Kenosha|Wards 11|11|United States Senator|Write-In||0
City of Kenosha|Wards 11|11|Representative in Congress|DEM|Peter Barca|736
City of Kenosha|Wards 11|11|Representative in Congress|REP|Bryan Steil|610
City of Kenosha|Wards 11|11|Representative in Congress|GRN|Chester Todd, Jr.|19
City of Kenosha|Wards 11|11|Representative in Congress|Write-In||0
City of Kenosha|Wards 11|11|State Senator District 22|DEM|Robert W. Wirch|1001
City of Kenosha|Wards 11|11|State Senator District 22|Write-In||32
City of Kenosha|Wards 11|11|Representative to the Assembly District 64|DEM|Tip McGuire|779
City of Kenosha|Wards 11|11|Representative to the Assembly District 64|REP|Ed Hibsch|553
City of Kenosha|Wards 11|11|Representative to the Assembly District 64|Write-In||1
City of Kenosha|Wards 11|11|District Attorney|DEM|Carli McNeill|793
City of Kenosha|Wards 11|11|District Attorney|REP|Xavier Solis|531
City of Kenosha|Wards 11|11|District Attorney|Write-In||2
City of Kenosha|Wards 11|11|County Clerk|DEM|Regi Waligora|969
City of Kenosha|Wards 11|11|County Clerk|Write-In||29
City of Kenosha|Wards 11|11|County Treasurer|DEM|Teri Jacobson|966
City of Kenosha|Wards 11|11|County Treasurer|Write-In||26
