Municipality|Ward_Name|Ward_Number|Contest|Party|Candidate|Votes
City of Kenosha|Wards 29|29|Representative in Congress|Write-In||0
City of Kenosha|Wards 29|29|State Senator District 22|DEM|Robert W. Wirch|149
City of Kenosha|Wards 29|29|State Senator District 22|Write-In||2
City of Kenosha|Wards 29|29|Representative to the Assembly District 65|DEM|Ben DeSmidt|118
City of Kenosha|Wards 29|29|Representative to the Assembly District 65|REP|Brian Gonzales|41
City of Kenosha|Wards 29|29|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 29|29|District Attorney|DEM|Carli McNeill|117
City of Kenosha|Wards 29|29|District Attorney|REP|Xavier Solis|43
City of Kenosha|Wards 29|29|District Attorney|Write-In||0
City of Kenosha|Wards 29|29|County Clerk|DEM|Regi Waligora|149
City of Kenosha|Wards 29|29|County Clerk|Write-In||1
City of Kenosha|Wards 29|29|County Treasurer|DEM|Teri Jacobson|147
City of Kenosha|Wards 29|29|County Treasurer|Write-In||1
City of Kenosha|Wards 29|29|Register of Deeds|DEM|Jennifer Mack|145
City of Kenosha|Wards 29|29|Register of Deeds|Write-In||1
City of Kenosha|Wards 29|29|State Referendum|Yes||133
City of Kenosha|Wards 29|29|State Referendum|No||24
City of Kenosha|Wards 30|30|President / Vice President|DEM|Kamala D. Harris / Tim Walz|277
City of Kenosha|Wards 30|30|President / Vice President|REP|Donald J. Trump / JD Vance|166
City of Kenosha|Wards 30|30|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|3
City of Kenosha|Wards 30|30|President / Vice President|GRN|Jill Stein / Rudolph Ware|3
City of Kenosha|Wards 30|30|President / Vice President|CON|Randall Terry / Stephen Broden|1
City of Kenosha|Wards 30|30|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 30|30|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 30|30|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 30|30|President / Vice President|Write-In||1
City of Kenosha|Wards 30|30|United States Senator|DEM|Tammy Baldwin|269
City of Kenosha|Wards 30|30|United States Senator|REP|Eric Hovde|140
City of Kenosha|Wards 30|30|United States Senator|DTC|Phil Anderson|19
City of Kenosha|Wards 30|30|United States Senator|AFT|Thomas Leager|12
City of Kenosha|Wards 30|30|United States Senator|Write-In||0
