Municipality|Ward_Name|Ward_Number|Contest|Party|Candidate|Votes
City of Kenosha|Wards 21|21|State Senator District 22|Write-In||0
City of Kenosha|Wards 21|21|Representative to the Assembly District 64|DEM|Tip McGuire|0
City of Kenosha|Wards 21|21|Representative to the Assembly District 64|REP|Ed Hibsch|0
City of Kenosha|Wards 21|21|Representative to the Assembly District 64|Write-In||0
City of Kenosha|Wards 21|21|District Attorney|DEM|Carli McNeill|0
City of Kenosha|Wards 21|21|District Attorney|REP|Xavier Solis|0
City of Kenosha|Wards 21|21|District Attorney|Write-In||0
City of Kenosha|Wards 21|21|County Clerk|DEM|Regi Waligora|0
City of Kenosha|Wards 21|21|County Clerk|Write-In||0
City of Kenosha|Wards 21|21|County Treasurer|DEM|Teri Jacobson|0
City of Kenosha|Wards 21|21|County Treasurer|Write-In||0
City of Kenosha|Wards 21|21|Register of Deeds|DEM|Jennifer Mack|0
City of Kenosha|Wards 21|21|Register of Deeds|Write-In||0
City of Kenosha|Wards 21|21|State Referendum|Yes||0
City of Kenosha|Wards 21|21|State Referendum|No||0
City of Kenosha|Wards 22|22|President / Vice President|DEM|Kamala D. Harris / Tim Walz|0
City of Kenosha|Wards 22|22|President / Vice President|REP|Donald J. Trump / JD Vance|0
City of Kenosha|Wards 22|22|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 22|22|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 22|22|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 22|22|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 22|22|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 22|22|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 22|22|President / Vice President|Write-In||0
City of Kenosha|Wards 22|22|United States Senator|DEM|Tammy Baldwin|0
City of Kenosha|Wards 22|22|United States Senator|REP|Eric Hovde|0
City of Kenosha|Wards 22|22|United States Senator|DTC|Phil Anderson|0
City of Kenosha|Wards 22|22|United States Senator|AFT|Thomas Leager|0
City of Kenosha|Wards 22|22|United States Senator|Write-In||0
City of Kenosha|Wards 22|22|Representative in Congress|DEM|Peter Barca|0
City of Kenosha|Wards 22|22|Representative in Congress|REP|Bryan Steil|0
City of Kenosha|Wards 22|22|Representative in Congress|GRN|Chester Todd, Jr.|0
City of Kenosha|Wards 22|22|Representative in Congress|Write-In||0
City of Kenosha|Wards 22|22|State Senator District 22|DEM|Robert W. Wirch|0
City of Kenosha|Wards 22|22|State Senator District 22|Write-In||0
City of Kenosha|Wards 22|22|Representative to the Assembly District 65|DEM|Ben DeSmidt|0
City of Kenosha|Wards 22|22|Representative to the Assembly District 65|REP|Brian Gonzales|0
City of Kenosha|Wards 22|22|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 22|22|District Attorney|DEM|Carli McNeill|0
City of Kenosha|Wards 22|22|District Attorney|REP|Xavier Solis|0
City of Kenosha|Wards 22|22|District Attorney|Write-In||0
City of Kenosha|Wards 22|22|County Clerk|DEM|Regi Waligora|0
City of Kenosha|Wards 22|22|County Clerk|Write-In||0
City of Kenosha|Wards 22|22|County Treasurer|DEM|Teri Jacobson|0
City of Kenosha|Wards 22|22|County Treasurer|Write-In||0
City of Kenosha|Wards 22|22|Register of Deeds|DEM|Jennifer Mack|0
City of Kenosha|Wards 22|22|Register of Deeds|Write-In||0
City of Kenosha|Wards 22|22|State Referendum|Yes||0
City of Kenosha|Wards 22|22|State Referendum|No||0
City of Kenosha|Wards 23|23|President / Vice President|DEM|Kamala D. Harris / Tim Walz|0
City of Kenosha|Wards 23|23|President / Vice President|REP|Donald J. Trump / JD Vance|0
City of Kenosha|Wards 23|23|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 23|23|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 23|23|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 23|23|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 23|23|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 23|23|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 23|23|President / Vice President|Write-In||0
City of Kenosha|Wards 23|23|United States Senator|DEM|Tammy Baldwin|0
City of Kenosha|Wards 23|23|United States Senator|REP|Eric Hovde|0
City of Kenosha|Wards 23|23|United States Senator|DTC|Phil Anderson|0
City of Kenosha|Wards 23|23|United States Senator|AFT|Thomas Leager|0
City of Kenosha|Wards 23|23|United States Senator|Write-In||0
City of Kenosha|Wards 23|23|Representative in Congress|DEM|Peter Barca|0
City of Kenosha|Wards 23|23|Representative in Congress|REP|Bryan Steil|0
City of Kenosha|Wards 23|23|Representative in Congress|GRN|Chester Todd, Jr.|0
City of Kenosha|Wards 23|23|Representative in Congress|Write-In||0
City of Kenosha|Wards 23|23|State Senator District 22|DEM|Robert W. Wirch|0
City of Kenosha|Wards 23|23|State Senator District 22|Write-In||0
City of Kenosha|Wards 23|23|Representative to the Assembly District 65|DEM|Ben DeSmidt|0
City of Kenosha|Wards 23|23|Representative to the Assembly District 65|REP|Brian Gonzales|0
City of Kenosha|Wards 23|23|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 23|23|District Attorney|DEM|Carli McNeill|0
City of Kenosha|Wards 23|23|District Attorney|REP|Xavier Solis|0
City of Kenosha|Wards 23|23|District Attorney|Write-In||0
City of Kenosha|Wards 23|23|County Clerk|DEM|Regi Waligora|0
City of Kenosha|Wards 23|23|County Clerk|Write-In||0
City of Kenosha|Wards 23|23|County Treasurer|DEM|Teri Jacobson|0
City of Kenosha|Wards 23|23|County Treasurer|Write-In||0
City of Kenosha|Wards 23|23|Register of Deeds|DEM|Jennifer Mack|0
City of Kenosha|Wards 23|23|Register of Deeds|Write-In||0
City of Kenosha|Wards 23|23|State Referendum|Yes||0
City of Kenosha|Wards 23|23|State Referendum|No||0
City of Kenosha|Wards 24|24|President / Vice President|DEM|Kamala D. Harris / Tim Walz|0
City of Kenosha|Wards 24|24|President / Vice President|REP|Donald J. Trump / JD Vance|0
City of Kenosha|Wards 24|24|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 24|24|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 24|24|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 24|24|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 24|24|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 24|24|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 24|24|President / Vice President|Write-In||0
City of Kenosha|Wards 24|24|United States Senator|DEM|Tammy Baldwin|0
City of Kenosha|Wards 24|24|United States Senator|REP|Eric Hovde|0
City of Kenosha|Wards 24|24|United States Senator|DTC|Phil Anderson|0
City of Kenosha|Wards 24|24|United States Senator|AFT|Thomas Leager|0
City of Kenosha|Wards 24|24|United States Senator|Write-In||0
City of Kenosha|Wards 24|24|Representative in Congress|DEM|Peter Barca|0
City of Kenosha|Wards 24|24|Representative in Congress|REP|Bryan Steil|0
City of Kenosha|Wards 24|24|Representative in Congress|GRN|Chester Todd, Jr.|0
City of Kenosha|Wards 24|24|Representative in Congress|Write-In||0
City of Kenosha|Wards 24|24|State Senator District 22|DEM|Robert W. Wirch|0
City of Kenosha|Wards 24|24|State Senator District 22|Write-In||0
City of Kenosha|Wards 24|24|Representative to the Assembly District 65|DEM|Ben DeSmidt|0
City of Kenosha|Wards 24|24|Representative to the Assembly District 65|REP|Brian Gonzales|0
City of Kenosha|Wards 24|24|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 24|24|District Attorney|DEM|Carli McNeill|0
City of Kenosha|Wards 24|24|District Attorney|REP|Xavier Solis|0
City of Kenosha|Wards 24|24|District Attorney|Write-In||0
City of Kenosha|Wards 24|24|County Clerk|DEM|Regi Waligora|0
City of Kenosha|Wards 24|24|County Clerk|Write-In||0
City of Kenosha|Wards 24|24|County Treasurer|DEM|Teri Jacobson|0
City of Kenosha|Wards 24|24|County Treasurer|Write-In||0
City of Kenosha|Wards 24|24|Register of Deeds|DEM|Jennifer Mack|0
City of Kenosha|Wards 24|24|Register of Deeds|Write-In||0
City of Kenosha|Wards 24|24|State Referendum|Yes||0
City of Kenosha|Wards 24|24|State Referendum|No||0
City of Kenosha|Wards 25|25|President / Vice President|DEM|Kamala D. Harris / Tim Walz|0
City of Kenosha|Wards 25|25|President / Vice President|REP|Donald J. Trump / JD Vance|0
City of Kenosha|Wards 25|25|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 25|25|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 25|25|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 25|25|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 25|25|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 25|25|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 25|25|President / Vice President|Write-In||0
City of Kenosha|Wards 25|25|United States Senator|DEM|Tammy Baldwin|0
City of Kenosha|Wards 25|25|United States Senator|REP|Eric Hovde|0
City of Kenosha|Wards 25|25|United States Senator|DTC|Phil Anderson|0
City of Kenosha|Wards 25|25|United States Senator|AFT|Thomas Leager|0
City of Kenosha|Wards 25|25|United States Senator|Write-In||0
City of Kenosha|Wards 25|25|Representative in Congress|DEM|Peter Barca|0
City of Kenosha|Wards 25|25|Representative in Congress|REP|Bryan Steil|0
City of Kenosha|Wards 25|25|Representative in Congress|GRN|Chester Todd, Jr.|0
City of Kenosha|Wards 25|25|Representative in Congress|Write-In||0
City of Kenosha|Wards 25|25|State Senator District 22|DEM|Robert W. Wirch|0
City of Kenosha|Wards 25|25|State Senator District 22|Write-In||0
City of Kenosha|Wards 25|25|Representative to the Assembly District 65|DEM|Ben DeSmidt|0
City of Kenosha|Wards 25|25|Representative to the Assembly District 65|REP|Brian Gonzales|0
City of Kenosha|Wards 25|25|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 25|25|District Attorney|DEM|Carli McNeill|0
City of Kenosha|Wards 25|25|District Attorney|REP|Xavier Solis|0
City of Kenosha|Wards 25|25|District Attorney|Write-In||0
City of Kenosha|Wards 25|25|County Clerk|DEM|Regi Waligora|0
City of Kenosha|Wards 25|25|County Clerk|Write-In||0
City of Kenosha|Wards 25|25|County Treasurer|DEM|Teri Jacobson|0
City of Kenosha|Wards 25|25|County Treasurer|Write-In||0
City of Kenosha|Wards 25|25|Register of Deeds|DEM|Jennifer Mack|0
City of Kenosha|Wards 25|25|Register of Deeds|Write-In||0
City of Kenosha|Wards 25|25|State Referendum|Yes||0
City of Kenosha|Wards 25|25|State Referendum|No||0
City of Kenosha|Wards 26|26|President / Vice President|DEM|Kamala D. Harris / Tim Walz|0
City of Kenosha|Wards 26|26|President / Vice President|REP|Donald J. Trump / JD Vance|0
City of Kenosha|Wards 26|26|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 26|26|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 26|26|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 26|26|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 26|26|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 26|26|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 26|26|President / Vice President|Write-In||0
City of Kenosha|Wards 26|26|United States Senator|DEM|Tammy Baldwin|0
City of Kenosha|Wards 26|26|United States Senator|REP|Eric Hovde|0
City of Kenosha|Wards 26|26|United States Senator|DTC|Phil Anderson|0
City of Kenosha|Wards 26|26|United States Senator|AFT|Thomas Leager|0
City of Kenosha|Wards 26|26|United States Senator|Write-In||0
City of Kenosha|Wards 26|26|Representative in Congress|DEM|Peter Barca|0
City of Kenosha|Wards 26|26|Representative in Congress|REP|Bryan Steil|0
City of Kenosha|Wards 26|26|Representative in Congress|GRN|Chester Todd, Jr.|0
City of Kenosha|Wards 26|26|Representative in Congress|Write-In||0
City of Kenosha|Wards 26|26|State Senator District 22|DEM|Robert W. Wirch|0
City of Kenosha|Wards 26|26|State Senator District 22|Write-In||0
City of Kenosha|Wards 26|26|Representative to the Assembly District 65|DEM|Ben DeSmidt|0
City of Kenosha|Wards 26|26|Representative to the Assembly District 65|REP|Brian Gonzales|0
City of Kenosha|Wards 26|26|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 26|26|District Attorney|DEM|Carli McNeill|0
City of Kenosha|Wards 26|26|District Attorney|REP|Xavier Solis|0
City of Kenosha|Wards 26|26|District Attorney|Write-In||0
City of Kenosha|Wards 26|26|County Clerk|DEM|Regi Waligora|0
City of Kenosha|Wards 26|26|County Clerk|Write-In||0
City of Kenosha|Wards 26|26|County Treasurer|DEM|Teri Jacobson|0
City of Kenosha|Wards 26|26|County Treasurer|Write-In||0
City of Kenosha|Wards 26|26|Register of Deeds|DEM|Jennifer Mack|0
City of Kenosha|Wards 26|26|Register of Deeds|Write-In||0
City of Kenosha|Wards 26|26|State Referendum|Yes||0
City of Kenosha|Wards 26|26|State Referendum|No||0
City of Kenosha|Wards 27|27|President / Vice President|DEM|Kamala D. Harris / Tim Walz|0
City of Kenosha|Wards 27|27|President / Vice President|REP|Donald J. Trump / JD Vance|0
City of Kenosha|Wards 27|27|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 27|27|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 27|27|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 27|27|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 27|27|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 27|27|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 27|27|President / Vice President|Write-In||0
City of Kenosha|Wards 27|27|United States Senator|DEM|Tammy Baldwin|0
City of Kenosha|Wards 27|27|United States Senator|REP|Eric Hovde|0
City of Kenosha|Wards 27|27|United States Senator|DTC|Phil Anderson|0
City of Kenosha|Wards 27|27|United States Senator|AFT|Thomas Leager|0
City of Kenosha|Wards 27|27|United States Senator|Write-In||0
City of Kenosha|Wards 27|27|Representative in Congress|DEM|Peter Barca|0
City of Kenosha|Wards 27|27|Representative in Congress|REP|Bryan Steil|0
City of Kenosha|Wards 27|27|Representative in Congress|GRN|Chester Todd, Jr.|0
City of Kenosha|Wards 27|27|Representative in Congress|Write-In||0
City of Kenosha|Wards 27|27|State Senator District 22|DEM|Robert W. Wirch|0
City of Kenosha|Wards 27|27|State Senator District 22|Write-In||0
City of Kenosha|Wards 27|27|Representative to the Assembly District 65|DEM|Ben DeSmidt|0
City of Kenosha|Wards 27|27|Representative to the Assembly District 65|REP|Brian Gonzales|0
City of Kenosha|Wards 27|27|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 27|27|District Attorney|DEM|Carli McNeill|0
City of Kenosha|Wards 27|27|District Attorney|REP|Xavier Solis|0
City of Kenosha|Wards 27|27|District Attorney|Write-In||0
City of Kenosha|Wards 27|27|County Clerk|DEM|Regi Waligora|0
City of Kenosha|Wards 27|27|County Clerk|Write-In||0
City of Kenosha|Wards 27|27|County Treasurer|DEM|Teri Jacobson|0
City of Kenosha|Wards 27|27|County Treasurer|Write-In||0
City of Kenosha|Wards 27|27|Register of Deeds|DEM|Jennifer Mack|0
City of Kenosha|Wards 27|27|Register of Deeds|Write-In||0
City of Kenosha|Wards 27|27|State Referendum|Yes||0
City of Kenosha|Wards 27|27|State Referendum|No||0
City of Kenosha|Wards 28|28|President / Vice President|DEM|Kamala D. Harris / Tim Walz|0
City of Kenosha|Wards 28|28|President / Vice President|REP|Donald J. Trump / JD Vance|0
City of Kenosha|Wards 28|28|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 28|28|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 28|28|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 28|28|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 28|28|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 28|28|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 28|28|President / Vice President|Write-In||0
City of Kenosha|Wards 28|28|United States Senator|DEM|Tammy Baldwin|0
City of Kenosha|Wards 28|28|United States Senator|REP|Eric Hovde|0
City of Kenosha|Wards 28|28|United States Senator|DTC|Phil Anderson|0
City of Kenosha|Wards 28|28|United States Senator|AFT|Thomas Leager|0
City of Kenosha|Wards 28|28|United States Senator|Write-In||0
City of Kenosha|Wards 28|28|Representative in Congress|DEM|Peter Barca|0
City of Kenosha|Wards 28|28|Representative in Congress|REP|Bryan Steil|0
City of Kenosha|Wards 28|28|Representative in Congress|GRN|Chester Todd, Jr.|0
City of Kenosha|Wards 28|28|Representative in Congress|Write-In||0
City of Kenosha|Wards 28|28|State Senator District 22|DEM|Robert W. Wirch|0
City of Kenosha|Wards 28|28|State Senator District 22|Write-In||0
City of Kenosha|Wards 28|28|Representative to the Assembly District 65|DEM|Ben DeSmidt|0
City of Kenosha|Wards 28|28|Representative to the Assembly District 65|REP|Brian Gonzales|0
City of Kenosha|Wards 28|28|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 28|28|District Attorney|DEM|Carli McNeill|0
City of Kenosha|Wards 28|28|District Attorney|REP|Xavier Solis|0
City of Kenosha|Wards 28|28|District Attorney|Write-In||0
City of Kenosha|Wards 28|28|County Clerk|DEM|Regi Waligora|0
City of Kenosha|Wards 28|28|County Clerk|Write-In||0
City of Kenosha|Wards 28|28|County Treasurer|DEM|Teri Jacobson|0
City of Kenosha|Wards 28|28|County Treasurer|Write-In||0
City of Kenosha|Wards 28|28|Register of Deeds|DEM|Jennifer Mack|0
City of Kenosha|Wards 28|28|Register of Deeds|Write-In||0
City of Kenosha|Wards 28|28|State Referendum|Yes||0
City of Kenosha|Wards 28|28|State Referendum|No||0
City of Kenosha|Wards 29|29|President / Vice President|DEM|Kamala D. Harris / Tim Walz|0
City of Kenosha|Wards 29|29|President / Vice President|REP|Donald J. Trump / JD Vance|0
City of Kenosha|Wards 29|29|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 29|29|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 29|29|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 29|29|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 29|29|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 29|29|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 29|29|President / Vice President|Write-In||0
City of Kenosha|Wards 29|29|United States Senator|DEM|Tammy Baldwin|0
City of Kenosha|Wards 29|29|United States Senator|REP|Eric Hovde|0
City of Kenosha|Wards 29|29|United States Senator|DTC|Phil Anderson|0
City of Kenosha|Wards 29|29|United States Senator|AFT|Thomas Leager|0
City of Kenosha|Wards 29|29|United States Senator|Write-In||0
City of Kenosha|Wards 29|29|Representative in Congress|DEM|Peter Barca|0
City of Kenosha|Wards 29|29|Representative in Congress|REP|Bryan Steil|0
City of Kenosha|Wards 29|29|Representative in Congress|GRN|Chester Todd, Jr.|0
City of Kenosha|Wards 29|29|Representative in Congress|Write-In||0
City of Kenosha|Wards 29|29|State Senator District 22|DEM|Robert W. Wirch|0
City of Kenosha|Wards 29|29|State Senator District 22|Write-In||0
City of Kenosha|Wards 29|29|Representative to the Assembly District 65|DEM|Ben DeSmidt|0
City of Kenosha|Wards 29|29|Representative to the Assembly District 65|REP|Brian Gonzales|0
City of Kenosha|Wards 29|29|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 29|29|District Attorney|DEM|Carli McNeill|0
City of Kenosha|Wards 29|29|District Attorney|REP|Xavier Solis|0
City of Kenosha|Wards 29|29|District Attorney|Write-In||0
City of Kenosha|Wards 29|29|County Clerk|DEM|Regi Waligora|0
City of Kenosha|Wards 29|29|County Clerk|Write-In||0
City of Kenosha|Wards 29|29|County Treasurer|DEM|Teri Jacobson|0
City of Kenosha|Wards 29|29|County Treasurer|Write-In||0
City of Kenosha|Wards 29|29|Register of Deeds|DEM|Jennifer Mack|0
City of Kenosha|Wards 29|29|Register of Deeds|Write-In||0
City of Kenosha|Wards 29|29|State Referendum|Yes||0
City of Kenosha|Wards 29|29|State Referendum|No||0
City of Kenosha|Wards 30|30|President / Vice President|DEM|Kamala D. Harris / Tim Walz|0
City of Kenosha|Wards 30|30|President / Vice President|REP|Donald J. Trump / JD Vance|0
City of Kenosha|Wards 30|30|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 30|30|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 30|30|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 30|30|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 30|30|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 30|30|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 30|30|President / Vice President|Write-In||0
City of Kenosha|Wards 30|30|United States Senator|DEM|Tammy Baldwin|0
City of Kenosha|Wards 30|30|United States Senator|REP|Eric Hovde|0
City of Kenosha|Wards 30|30|United States Senator|DTC|Phil Anderson|0
City of Kenosha|Wards 30|30|United States Senator|AFT|Thomas Leager|0
City of Kenosha|Wards 30|30|United States Senator|Write-In||0
City of Kenosha|Wards 30|30|Representative in Congress|DEM|Peter Barca|0
City of Kenosha|Wards 30|30|Representative in Congress|REP|Bryan Steil|0
City of Kenosha|Wards 30|30|Representative in Congress|GRN|Chester Todd, Jr.|0
City of Kenosha|Wards 30|30|Representative in Congress|Write-In||0
City of Kenosha|Wards 30|30|State Senator District 22|DEM|Robert W. Wirch|0
City of Kenosha|Wards 30|30|State Senator District 22|Write-In||0
City of Kenosha|Wards 30|30|Representative to the Assembly District 65|DEM|Ben DeSmidt|0
City of Kenosha|Wards 30|30|Representative to the Assembly District 65|REP|Brian Gonzales|0
City of Kenosha|Wards 30|30|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 30|30|District Attorney|DEM|Carli McNeill|0
City of Kenosha|Wards 30|30|District Attorney|REP|Xavier Solis|0
City of Kenosha|Wards 30|30|District Attorney|Write-In||0
City of Kenosha|Wards 30|30|County Clerk|DEM|Regi Waligora|0
City of Kenosha|Wards 30|30|County Clerk|Write-In||0
City of Kenosha|Wards 30|30|County Treasurer|DEM|Teri Jacobson|0
City of Kenosha|Wards 30|30|County Treasurer|Write-In||0
City of Kenosha|Wards 30|30|Register of Deeds|DEM|Jennifer Mack|0
City of Kenosha|Wards 30|30|Register of Deeds|Write-In||0
City of Kenosha|Wards 30|30|State Referendum|Yes||0
City of Kenosha|Wards 30|30|State Referendum|No||0
City of Kenosha|Wards 31|31|President / Vice President|DEM|Kamala D. Harris / Tim Walz|0
City of Kenosha|Wards 31|31|President / Vice President|REP|Donald J. Trump / JD Vance|0
City of Kenosha|Wards 31|31|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 31|31|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 31|31|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 31|31|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 31|31|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 31|31|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 31|31|President / Vice President|Write-In||0
City of Kenosha|Wards 31|31|United States Senator|DEM|Tammy Baldwin|0
City of Kenosha|Wards 31|31|United States Senator|REP|Eric Hovde|0
City of Kenosha|Wards 31|31|United States Senator|DTC|Phil Anderson|0
City of Kenosha|Wards 31|31|United States Senator|AFT|Thomas Leager|0
City of Kenosha|Wards 31|31|United States Senator|Write-In||0
City of Kenosha|Wards 31|31|Representative in Congress|DEM|Peter Barca|0
City of Kenosha|Wards 31|31|Representative in Congress|REP|Bryan Steil|0
City of Kenosha|Wards 31|31|Representative in Congress|GRN|Chester Todd, Jr.|0
City of Kenosha|Wards 31|31|Representative in Congress|Write-In||0
City of Kenosha|Wards 31|31|State Senator District 22|DEM|Robert W. Wirch|0
City of Kenosha|Wards 31|31|State Senator District 22|Write-In||0
City of Kenosha|Wards 31|31|Representative to the Assembly District 65|DEM|Ben DeSmidt|0
City of Kenosha|Wards 31|31|Representative to the Assembly District 65|REP|Brian Gonzales|0
City of Kenosha|Wards 31|31|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 31|31|District Attorney|DEM|Carli McNeill|0
City of Kenosha|Wards 31|31|District Attorney|REP|Xavier Solis|0
City of Kenosha|Wards 31|31|District Attorney|Write-In||0
City of Kenosha|Wards 31|31|County Clerk|DEM|Regi Waligora|0
City of Kenosha|Wards 31|31|County Clerk|Write-In||0
City of Kenosha|Wards 31|31|County Treasurer|DEM|Teri Jacobson|0
City of Kenosha|Wards 31|31|County Treasurer|Write-In||0
City of Kenosha|Wards 31|31|Register of Deeds|DEM|Jennifer Mack|0
City of Kenosha|Wards 31|31|Register of Deeds|Write-In||0
City of Kenosha|Wards 31|31|State Referendum|Yes||0
City of Kenosha|Wards 31|31|State Referendum|No||0
City of Kenosha|Wards 32|32|President / Vice President|DEM|Kamala D. Harris / Tim Walz|0
City of Kenosha|Wards 32|32|President / Vice President|REP|Donald J. Trump / JD Vance|0
City of Kenosha|Wards 32|32|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 32|32|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 32|32|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 32|32|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 32|32|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 32|32|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 32|32|President / Vice President|Write-In||0
City of Kenosha|Wards 32|32|United States Senator|DEM|Tammy Baldwin|0
City of Kenosha|Wards 32|32|United States Senator|REP|Eric Hovde|0
City of Kenosha|Wards 32|32|United States Senator|DTC|Phil Anderson|0
City of Kenosha|Wards 32|32|United States Senator|AFT|Thomas Leager|0
City of Kenosha|Wards 32|32|United States Senator|Write-In||0
City of Kenosha|Wards 32|32|Representative in Congress|DEM|Peter Barca|0
City of Kenosha|Wards 32|32|Representative in Congress|REP|Bryan Steil|0
City of Kenosha|Wards 32|32|Representative in Congress|GRN|Chester Todd, Jr.|0
